Part Number,	Item Name, 	Quantity, 	Location Room, 		Location Row,	Location Column, Location Shelf ,Barcode, 	Item Description,Stock Date,Unit Price,VAT Amount,Sale Price (Inc VAT),Total value (inc VAT),Supplier Id
ext0020L,2 gang trailing socket,3,,,,,ext0020L,,18 January 2016,1.52,0.30,1.82,5.46,6
lyv3637,lyveco led candle,5,,,,,lyv3637,,18 January 2016,2.15,0.43,2.58,12.9,6
0.4060'es,danfoss nozzle,2,,,,,0.4060'es,,20 January 2016,4.25,0.85,5.1,10.2,32
0.5060'es,danfoss nozzle,4,,,,,0.5060'es,,20 January 2016,3.85,0.77,4.62,18.48,32
0.6060'es,danfoss nozzle,2,,,,,0.6060'es,,20 January 2016,3.85,0.77,4.62,9.24,32
b-gsk,hard fibre burner gasket,2,,,,,b-gsk,,20 January 2016,4.00,0.80,4.80,9.6,32
d-gsk,round burner gasket,1,,,,,d-gsk,,20 January 2016,2.90,0.58,3.48,3.48,32
e-gsk,(65323875) gasket,1,,,,,e-gsk,,20 January 2016,4.00,0.80,4.80,4.8,32
o-gsk,seal gasket,1,,,,,o-gsk,,20 January 2016,4.50,0.90,5.40,5.4,32
0.5580'eh,danfoss nozzle,3,,,,,0.5580'eh,,20 January 2016,3.85,0.77,4.62,13.86,32
0.6080'eh,danfoss nozzle,3,,,,,0.6080'eh,,20 January 2016,3.85,0.77,4.62,13.86,32
st699b1002,programmer 24 hr,1,,,,,st699b1002,,20 January 2016,71.50,14.30,85.80,85.8,32
lux3871425124,fan oven heater element,3,,,,,lux3871425124,,25 January 2016,8.25,1.65,9.9,29.7,34
hp62103,door interlock switch,1,,,,,hp62103,,25 January 2016,1.75,0.35,2.1,2.1,34
el14106,fan oven heater element,4,,,,,el14106,,25 January 2016,3.79,0.76,4.55,18.2,34
6758,carbon brushes ceset,1,,,,,6758,,26 January 2016,3.75,0.75,4.5,4.5,31
9894,carbon brushes sole,1,,,,,9894,,26 January 2016,4.54,0.91,5.45,5.45,31
c00196539,carbon brushes ariston,1,,,,,c00196539,,26 January 2016,5.10,1.02,6.12,6.12,31
og339,fan oven element beko,1,,,,,og339,,26 January 2016,3.89,0.78,4.67,4.67,31
ser322030500,ice box handle servis,1,,,,,ser322030500,,26 January 2016,7.69,1.54,9.23,9.23,31
be14106,grill heater element,1,,,,,be14106,,27 January 2016,3.85,0.77,4.62,4.62,34
ebi-s,danfoss ebi-m tranformer,3,,,,,ebi-s,,28 January 2016,15.90,3.18,19.08,57.24,32
be7a,"parker solenoid valve 1/8""",4,,,,,be7a,,28 January 2016,10.85,2.17,13.02,52.08,32
kt09-lead,parker solenoid valve lead,4,,,,,kt09-lead,,28 January 2016,5.04,1.01,6.05,24.2,32
