Part Number,	Item Name, 	Quantity, 	Location Room, 		Location Row,	Location Column, Location Shelf ,Barcode, 	Item Description,Stock Date,Unit Price,VAT Amount,Sale Price (Inc VAT),Total value (inc VAT),Supplier Id
no88zksa2a,fuse 2amp 20mm,8,,,,,no88zksa2a,,23 May 2012,0.11,0.02,0.13,1.04,6
no88zksa10a,fuse 10amp 20mm,5,,,,,no88zksa10a,,23 May 2012,0.35,0.07,0.42,2.1,6
dst1322641018,push button support,1,,,,,dst1322641018,,7 June 2012,6.29,1.26,7.55,7.55,18
11ca20,capacitor,1,,,,,11ca20,,8 June 2012,1.51,0.30,1.81,1.81,19
quafil181,filter dual pre motor,1,,,,,quafil181,,15 June 2012,1.59,0.32,1.91,1.91,19
quafil191,hepa post filter dysn,1,,,,,quafil191,,15 June 2012,3.09,0.62,3.71,3.71,19
quafil196,filter pad dyson,1,,,,,quafil196,,15 June 2012,0.99,0.20,1.19,1.19,19
dst1105711012,pressostat,1,,,,,dst1105711012,,15 June 2012,17.62,3.52,21.14,21.14,18
hpt9058,adaptor 2 way,1,,,,,hpt9058,,21 June 2012,8.75,1.75,10.5,10.5,6
plm014,adaptor tap to inlet,1,,,,,plm014,,21 June 2012,2.14,0.43,2.57,2.57,6
hpt1602473,door hinge assembly,1,,,,,hpt1602473,,21 June 2012,3.31,0.66,3.97,3.97,6
12-hp-11,carbon brushes 9mm,1,,,,,12-hp-11,,11 July 2012,3.89,0.78,4.67,4.67,19
41-un-06s,microwave bulb,4,,,,,41-un-06s,,11 July 2012,0.48,0.10,0.58,2.32,19
bek4410101001,bi metal thermal cutout,1,,,,,bek4410101001,,16 July 2012,3.86,0.77,4.63,4.63,6
dst50252883009,door handle,1,,,,,dst50252883009,,16 July 2012,5.14,1.03,6.17,6.17,6
thm9368,oven thermometer,1,,,,,thm9368,,16 July 2012,2.86,0.57,3.43,3.43,6
bsh172272,hose  clamp,2,,,,,bsh172272,,16 July 2012,2.66,0.53,3.19,6.38,6
hpt1604034,valve double hotpoint,1,,,,,hpt1604034,,16 July 2012,7.60,1.52,9.12,9.12,6
64941,tubing,2,,,,,64941,,17 July 2012,0.84,0.17,1.01,2.02,27
502023400,freezer ambient probe,1,,,,,502023400,,13 August 2012,10.43,2.09,12.52,12.52,28
502023500,hygena thermistor probe,1,,,,,502023500,,13 August 2012,9.99,2.00,11.99,11.99,28
quadbt89,door gasket bosch,1,,,,,quadbt89,,5 September 2012,4.53,0.91,5.44,5.44,18
quadbt111,door gasket ariston,1,,,,,quadbt111,,5 September 2012,6.49,1.30,7.79,7.79,18
,element grill,1,,,,,element grill,,11 September 2012,31.69,6.34,38.03,38.03,29
ele4001,fan oven element,1,,,,,ele4001,,5 November 2012,3.50,0.70,4.20,4.2,6
dst1240159036,gasket tub,1,,,,,dst1240159036,,15 November 2012,2.09,0.42,2.51,2.51,18
62-wp-07,door lock whirlpool,1,,,,,62-wp-07,,16 November 2012,5.04,1.01,6.05,6.05,19
51-wp-07,drain pump base,1,,,,,51-wp-07,,16 November 2012,9.69,1.94,11.63,11.63,19
89226,isolating valve,1,,,,,89226,,19 November 2012,7.34,1.47,8.81,8.81,24
wel3504,lamp 40w clear,3,,,,,wel3504,,26 November 2012,0.60,0.12,0.72,2.16,6
ele3921,lamp 25w clear,2,,,,,ele3921,,26 November 2012,1.10,0.22,1.32,2.64,6
merc00092155,clamp seal door,1,,,,,merc00092155,,6 December 2012,3.65,0.73,4.38,4.38,6
cfc7511,cable 1.5mm 15a,1,,,,,cfc7511,,6 December 2012,39.64,7.93,47.57,47.57,6
14-hy-236,hygena fan oven element,1,,,,,14-hy-236,,10 December 2012,2.99,0.60,3.59,3.59,19
14-wp-07,g2 series fan element,1,,,,,14-wp-07,,10 December 2012,2.79,0.56,3.35,3.35,19
hptc00058776,washer,4,,,,,hptc00058776,,10 December 2012,0.62,0.12,0.74,2.96,18
wpl481953228227,washer,1,,,,,wpl481953228227,,10 December 2012,2.96,0.59,3.55,3.55,18
blk0146,bulk ceiling pend,1,,,,,blk0146,,19 December 2012,7.86,1.57,9.43,9.43,6
cfc7523,wellco 1.5mm 3 core,1,,,,,cfc7523,,19 December 2012,26.76,5.35,32.11,32.11,6
fus014y,wellco 5a bs1361,1,,,,,fus014y,,7 January 2013,5.50,1.10,6.60,6.6,6
ccllb,low loss coaxial 7,1,,,,,ccllb,,7 January 2013,13.49,2.70,16.19,16.19,6
hptc00252589,carbon brushes,1,,,,,hptc00252589,,19 February 2013,5.69,1.14,6.83,6.83,6
dae3019974870,water filter clg,1,,,,,dae3019974870,,21 February 2013,16.99,3.40,20.39,20.39,6
wpl481281718629,water filter universal,1,,,,,wpl481281718629,,21 February 2013,18.25,3.65,21.9,21.9,6
18561,manrose square flap vent 100m,1,,,,,18561,,24 April 2013,1.83,0.37,2.2,2.2,30
59530,manrose square flap vent 160m,1,,,,,59530,,24 April 2013,2.66,0.53,3.19,3.19,30
wel0184,wellco economy pattr,1,,,,,wel0184,,23 May 2013,3.63,0.73,4.36,4.36,6
blk0196,wellco bulk blanking,1,,,,,blk0196,,23 May 2013,3.40,0.68,4.08,4.08,6
ele1000,hob ring element,1,,,,,ele1000,,3 June 2013,3.49,0.70,4.19,4.19,6
ele045,spider hotplate element,1,,,,,ele045,,3 June 2013,1.08,0.22,1.3,1.3,6
ext0010,1 gang white trailing,4,,,,,ext0010,,3 June 2013,0.81,0.16,0.97,3.88,6
ele046,spider hotplate element,1,,,,,ele046,,3 June 2013,1.96,0.39,2.35,2.35,6
val894,valve inlet solenoid,1,,,,,val894,,5 June 2013,1.39,0.28,1.67,1.67,6
val768,valve inlet solenoid,1,,,,,val768,,5 June 2013,2.03,0.41,2.44,2.44,6
val3636,valve inlet solenoid,1,,,,,val3636,,5 June 2013,2.36,0.47,2.83,2.83,6
merc00033041,gasket band clamp door,1,,,,,merc00033041,,5 June 2013,3.65,0.73,4.38,4.38,6
cbn2227,carbon brush motor,2,,,,,cbn2227,,20 June 2013,2.34,0.47,2.81,5.62,6
cbl4000,mains power cable 2 core,1,,,,,cbl4000,,8 July 2013,3.82,0.76,4.58,4.58,6
wpl480181700314,wpro terra bianca natura,3,,,,,wpl480181700314,,8 July 2013,4.01,0.80,4.81,14.43,6
blt209,belt drum polyvee,1,,,,,blt209,,15 July 2013,3.13,0.63,3.76,3.76,6
lyv4501bp,lyvia 400w c class,1,,,,,lyv4501bp,,15 July 2013,0.85,0.17,1.02,1.02,6
plm036,plumbing in kit,1,,,,,plm036,,15 July 2013,4.99,1.00,5.99,5.99,6
lyv4201bp,lyvia 160c class,1,,,,,lyv4201bp,,15 July 2013,0.85,0.17,1.02,1.02,6
dst3110756024,spider hotplate element,1,,,,,dst3110756024,,6 August 2013,2.73,0.55,3.28,3.28,6
lyv3406,lyvia 3406 slimline 1g,2,,,,,lyv3406,,6 August 2013,1.12,0.22,1.34,2.68,6
twin switched socket,wel1037,1,,,,,twin switched socket,,11 August 2013,9.38,1.88,11.26,11.26,6
hoover heating element t/d,40004318,1,,,,,hoover heating element t/d,,11 August 2013,26.49,5.30,31.79,31.79,18
Cable 1.25mm 13a 3 core,cfc7416,1,,,,,Cable 1.25mm 13a 3 core,,15 August 2013,26.91,5.38,32.29,32.29,6
wellco 1.5mm 3 core white,cfc7523,1,,,,,wellco 1.5mm 3 core white,,15 August 2013,26.76,5.35,32.11,32.11,6
wellco standard switch,wel5289,1,,,,,wellco standard switch,,2 September 2013,11.30,2.26,13.56,13.56,6
collo hob black 20ml,quacs28,1,,,,,collo hob black 20ml,,2 September 2013,5.73,1.15,6.88,6.88,18
door interlock,dor292,1,,,,,door interlock,,9 September 2013,2.45,0.49,2.94,2.94,6
compression blanking nut,plm9029,2,,,,,compression blanking nut,,9 September 2013,0.75,0.15,0.9,1.8,6
wellco standard socket,wel1037,1,,,,,wellco standard socket,,16 September 2013,9.38,1.88,11.26,11.26,6
top spray arm fixing nut,hptc00144315,4,,,,,top spray arm fixing nut,,3 October 2013,1.53,0.31,1.84,7.36,18
capacitor 7uf,cap244,1,,,,,capacitor 7uf,,7 October 2013,1.09,0.22,1.31,1.31,6
capacitor 3uf,cap90113,1,,,,,capacitor 3uf,,7 October 2013,0.88,0.18,1.06,1.06,6
capacitor 4uf,cap480,1,,,,,capacitor 4uf,,7 October 2013,0.99,0.20,1.19,1.19,6
carbon brush kit,dst5026481007,1,,,,,carbon brush kit,,4 November 2013,6.85,1.37,8.22,8.22,18
collo hob black 20ml,quacs28,1,,,,,collo hob black 20ml,,4 November 2013,4.58,0.92,5.5,5.5,18
damper assy,hvr41017168,2,,,,,damper assy,,26 November 2013,4.76,0.95,5.71,11.42,6
lamp 25w ses e14 clear,wel4813,7,,,,,lamp 25w ses e14 clear,,12 December 2013,0.60,0.12,0.72,5.04,6
oven/microwave lamp 25w,2419,8,,,,,oven/microwave lamp 25w,,13 December 2013,0.65,0.13,0.78,6.24,31
oven/microwave lamp 40w,2420,4,,,,,oven/microwave lamp 40w,,13 December 2013,0.59,0.12,0.71,2.84,31
plateswitch 6a 3 gang,7580,8,,,,,plateswitch 6a 3 gang,,13 December 2013,0.20,0.04,0.24,1.92,31
13a white plug,80333,7,,,,,13a white plug,,13 December 2013,0.46,0.09,0.55,3.85,31
wall socket 1 gang 13a,80421,8,,,,,wall socket 1 gang 13a,,13 December 2013,1.00,0.20,1.20,9.6,31
bulk trailing 13amp socket,ts01,1,,,,,bulk trailing 13amp socket,,23 December 2013,12.84,2.57,15.41,15.41,6
lyvia 3406 slimline,lyv3406,3,,,,,lyvia 3406 slimline,,23 December 2013,1.12,0.22,1.34,4.02,6
carbon brush,cbn9175,1,,,,,carbon brush,,9 January 2014,4.75,0.95,5.7,5.7,6
elasticated drive belt 18,hptc00095658,2,,,,,elasticated drive belt 18,,9 January 2014,2.65,0.53,3.18,6.36,18
carbon brushset laminate,hptc00197976,2,,,,,carbon brushset laminate,,9 January 2014,3.49,0.70,4.19,8.38,18
carbon brush + holder,quacar52,1,,,,,carbon brush + holder,,9 January 2014,3.43,0.69,4.12,4.12,18
carbon brush + holder,quacar65,1,,,,,carbon brush + holder,,9 January 2014,4.50,0.90,5.40,5.4,18
carbon brush + holder 4.6,quacar69,2,,,,,carbon brush + holder 4.6,,9 January 2014,4.99,1.00,5.99,11.98,18
carbon brush + holder,quacar75,1,,,,,carbon brush + holder,,9 January 2014,2.99,0.60,3.59,3.59,18
carbon brush + holder,quacar91,2,,,,,carbon brush + holder,,9 January 2014,3.50,0.70,4.20,8.4,18
danfoss nozzle,0.6580eh,1,,,,,danfoss nozzle,,20 January 2014,3.50,0.70,4.20,4.2,32
danfoss nozzle,0.3580s,1,,,,,danfoss nozzle,,20 January 2014,4.00,0.80,4.80,4.8,32
danfoss nozzle,0.5060es,1,,,,,danfoss nozzle,,20 January 2014,3.50,0.70,4.20,4.2,32
danfoss nozzle,0.4060es,1,,,,,danfoss nozzle,,20 January 2014,4.00,0.80,4.80,4.8,32
round burner gasket,d-gsk,1,,,,,round burner gasket,,20 January 2014,2.80,0.56,3.36,3.36,32
hoses,brdmix,1,,,,,hoses,,20 January 2014,14.25,2.85,17.1,17.1,32
square gasket,e-gsk,2,,,,,square gasket,,20 January 2014,3.80,0.76,4.56,9.12,32
d/w upper basket,whl9267,5,,,,,d/w upper basket,,22 January 2014,1.09,0.22,1.31,6.55,6
jegs 40w ses cookerhood,jegjd2235,2,,,,,jegs 40w ses cookerhood,,22 January 2014,0.59,0.12,0.71,1.42,18
door catch hotpoint,quadt101,1,,,,,door catch hotpoint,,22 January 2014,2.69,0.54,3.23,3.23,18
lyvia 24hr/7day mini tim,lyv4725,1,,,,,lyvia 24hr/7day mini tim,,3 February 2014,4.04,0.81,4.85,4.85,6
carbon brush kit ,dst50265479001,2,,,,,carbon brush kit ,,3 February 2014,6.47,1.29,7.76,15.52,18
carbon brush & holder,cbn9191,1,,,,,carbon brush & holder,,11 February 2014,5.40,1.08,6.48,6.48,6
radiant boiling plate,ele9147,1,,,,,radiant boiling plate,,13 February 2014,2.49,0.50,2.99,2.99,6
immersion heater stat,bak18,1,,,,,immersion heater stat,,18 February 2014,5.37,1.07,6.44,6.44,33
grill element,fvlp038435,2,,,,,grill element,,26 February 2014,5.84,1.17,7.01,14.02,6
ultraslim replacement tu,etrn643box,1,,,,,ultraslim replacement tu,,26 February 2014,19.47,3.89,23.36,23.36,6
motor fix kit digit,hptc00202905,1,,,,,motor fix kit digit,,26 February 2014,1.67,0.33,2,2,18
carbon brush bosch,hptc00252589,1,,,,,carbon brush bosch,,26 February 2014,2.25,0.45,2.7,2.7,18
heater 1havoa469001 1050w,hvr40004318,1,,,,,heater 1havoa469001 1050w,,26 February 2014,26.49,5.30,31.79,31.79,18
element ariston ind,quahtr71,1,,,,,element ariston ind,,26 February 2014,13.60,2.72,16.32,16.32,18
washing machine cleaner,60342n,2,,,,,washing machine cleaner,,10 March 2014,1.85,0.37,2.22,4.44,31
dishwasher cleaner,60344,3,,,,,dishwasher cleaner,,10 March 2014,1.85,0.37,2.22,6.66,31
energy regulators simmer,ele4116,1,,,,,energy regulators simmer,,10 March 2014,6.29,1.26,7.55,7.55,6
grill microswitch,stv082578200,1,,,,,grill microswitch,,13 March 2014,2.14,0.43,2.57,2.57,6
element heating flow,ele3563,1,,,,,element heating flow,,13 March 2014,15.99,3.20,19.19,19.19,6
door lock,dst1240349017,1,,,,,door lock,,13 March 2014,6.75,1.35,8.1,8.1,6
13a 1gang white trailing,ext0010,6,,,,,13a 1gang white trailing,,13 March 2014,0.81,0.16,0.97,5.82,6
13 amp 1 gang,jegppj013a,5,,,,,13 amp 1 gang,,19 March 2014,1.39,0.28,1.67,8.35,18
one gang to 4 gang surge,extsp40,1,,,,,one gang to 4 gang surge,,21 March 2014,1.88,0.38,2.26,2.26,6
silver button,mdac00255472,1,,,,,silver button,,21 March 2014,5.38,1.08,6.46,6.46,34
danfoss nozzle,06580eh,1,,,,,danfoss nozzle,,26 March 2014,3.50,0.70,4.20,4.2,32
danfoss nozzle,05580eh,1,,,,,danfoss nozzle,,26 March 2014,3.50,0.70,4.20,4.2,32
danfoss nozzle,04080eh,1,,,,,danfoss nozzle,,26 March 2014,4.00,0.80,4.80,4.8,32
danfoss nozzle,08580eh,1,,,,,danfoss nozzle,,26 March 2014,3.50,0.70,4.20,4.2,32
square gasket,egsk,1,,,,,square gasket,,26 March 2014,3.80,0.76,4.56,4.56,32
drum paddle indesit,hptc00065463,3,,,,,drum paddle indesit,,27 March 2014,2.74,0.55,3.29,9.87,18
energy regulator belling,82590800,1,,,,,energy regulator belling,,28 March 2014,9.40,1.88,11.28,11.28,31
drum paddle hotpoint/indesit,80295,2,,,,,drum paddle hotpoint/indesit,,28 March 2014,1.53,0.31,1.84,3.68,31
element heater t/d,hvr40004314,1,,,,,element heater t/d,,3 April 2014,15.30,3.06,18.36,18.36,6
gasket t/stat,dst1240152031,1,,,,,gasket t/stat,,3 April 2014,3.94,0.79,4.73,4.73,6
probe thermostat,dst1249280023,1,,,,,probe thermostat,,3 April 2014,13.82,2.76,16.58,16.58,6
switch rocker with neon,quasw95,2,,,,,switch rocker with neon,,24 April 2014,1.99,0.40,2.39,4.78,18
element grill,merc00192999,1,,,,,element grill,,8 May 2014,34.43,6.89,41.32,41.32,6
element grill fan oven,ele3798,2,,,,,element grill fan oven,,8 May 2014,1.89,0.38,2.27,4.54,6
oven thermometer,quacs136,3,,,,,oven thermometer,,8 May 2014,0.95,0.19,1.14,3.42,18
spring tank,bsh606818,2,,,,,spring tank,,8 May 2014,3.16,0.63,3.79,7.58,18
suspension legs bosch,quaslg20,2,,,,,suspension legs bosch,,8 May 2014,5.99,1.20,7.19,14.38,18
cooker hood lamp 40w,2413,2,,,,,cooker hood lamp 40w,,9 May 2014,0.99,0.20,1.19,2.38,31
inlet hose blue,4203,4,,,,,inlet hose blue,,9 May 2014,1.17,0.23,1.4,5.6,31
inlet hose red,4265,3,,,,,inlet hose red,,9 May 2014,1.17,0.23,1.4,4.2,31
vac bags numatic,num604015,1,,,,,vac bags numatic,,9 May 2014,2.99,0.60,3.59,3.59,31
exhaust filter,4071366837,1,,,,,exhaust filter,,14 May 2014,3.57,0.71,4.28,4.28,31
motor,skusyn,1,,,,,motor,,20 May 2014,13.00,2.60,15.60,15.6,32
ele993,hotplate hob ring element,1,,,,,ele993,,22 May 2014,1.35,0.27,1.62,1.62,6
ele992,hotplate hob ring element,1,,,,,ele992,,22 May 2014,1.64,0.33,1.97,1.97,6
48058,halolite low voltage 20-60a,2,,,,,48058,,23 May 2014,5.97,1.19,7.16,14.32,24
ele3563,element heating floe,1,,,,,ele3563,,27 May 2014,10.04,2.01,12.05,12.05,6
cro421309251871,door interlock relay boar,1,,,,,cro421309251871,,28 May 2014,6.31,1.26,7.57,7.57,18
dst1240167427,door seal gasket,1,,,,,dst1240167427,,3 June 2014,5.84,1.17,7.01,7.01,6
bsh154740,carbon brushes,1,,,,,bsh154740,,11 June 2014,13.40,2.68,16.08,16.08,34
ele4117,energy regulator,1,,,,,ele4117,,18 June 2014,4.99,1.00,5.99,5.99,6
merc00196539,carbon brush & holder,1,,,,,merc00196539,,4 July 2014,9.64,1.93,11.57,11.57,6
cbn9191,carbon brush & holder,1,,,,,cbn9191,,4 July 2014,4.50,0.90,5.40,5.4,6
merc00273898,carbon brush single,2,,,,,merc00273898,,4 July 2014,10.21,2.04,12.25,24.5,6
cbn9049,main motor brushes,1,,,,,cbn9049,,4 July 2014,4.95,0.99,5.94,5.94,6
cbn9041,carbon brusht/f,1,,,,,cbn9041,,4 July 2014,4.53,0.91,5.44,5.44,6
dst50266971003,lower front dishwash,2,,,,,dst50266971003,,4 July 2014,6.30,1.26,7.56,15.12,6
cbn5125,carbon brush motor,1,,,,,cbn5125,,4 July 2014,3.88,0.78,4.66,4.66,6
bsh611323,sensor,1,,,,,bsh611323,,5 July 2014,9.27,1.85,11.12,11.12,31
bsh611317,contact,1,,,,,bsh611317,,5 July 2014,9.27,1.85,11.12,11.12,31
cbl5134,cable 3 core 0.75 black,1,,,,,cbl5134,,15 July 2014,4.05,0.81,4.86,4.86,6
ele9045,fan oven element 2000w,1,,,,,ele9045,,15 July 2014,3.65,0.73,4.38,4.38,6
ele3989,fan oven element 2500w,1,,,,,ele3989,,15 July 2014,5.95,1.19,7.14,7.14,6
ele4001,fan oven element 2500w t,1,,,,,ele4001,,15 July 2014,2.25,0.45,2.7,2.7,6
ele4532,fan oven element 2450w,1,,,,,ele4532,,15 July 2014,2.09,0.42,2.51,2.51,6
ele9331,fan oven element 2000w,1,,,,,ele9331,,15 July 2014,3.45,0.69,4.14,4.14,6
cbl5133,cable 2 core 0.75 black,1,,,,,cbl5133,,15 July 2014,3.63,0.73,4.36,4.36,6
ele3460,fan oven element 2500w c,1,,,,,ele3460,,15 July 2014,4.13,0.83,4.96,4.96,6
ele4369,element fan oven 3 turn,1,,,,,ele4369,,15 July 2014,3.45,0.69,4.14,4.14,6
0.7580eh,danfoss nozzle,3,,,,,0.7580eh,,15 July 2014,3.70,0.74,4.44,13.32,32
0.480eh,danfoss nozzle,2,,,,,0.480eh,,15 July 2014,4.20,0.84,5.04,10.08,32
0.5060es,danfoss nozzle,2,,,,,0.5060es,,15 July 2014,3.70,0.74,4.44,8.88,32
0.6060es,danfoss nozzle,2,,,,,0.6060es,,15 July 2014,3.70,0.74,4.44,8.88,32
0.6580eh,danfoss nozzle,3,,,,,0.6580eh,,15 July 2014,3.70,0.74,4.44,13.32,32
brd01,braided hose,1,,,,,brd01,,15 July 2014,2.95,0.59,3.54,3.54,32
brd04,braided hose,1,,,,,brd04,,15 July 2014,2.95,0.59,3.54,3.54,32
brd05,braided hose,1,,,,,brd05,,15 July 2014,2.95,0.59,3.54,3.54,32
0.5580eh,danfoss nozzle,1,,,,,0.5580eh,,15 July 2014,3.70,0.74,4.44,4.44,32
0.6080eh,danfoss nozzle,1,,,,,0.6080eh,,15 July 2014,3.70,0.74,4.44,4.44,32
0.5080s,danfoss nozzle,1,,,,,0.5080s,,15 July 2014,3.70,0.74,4.44,4.44,32
ele9337,ego fan oven element 230,1,,,,,ele9337,,24 July 2014,5.25,1.05,6.3,6.3,6
ele3989,element fan oven 2500w,2,,,,,ele3989,,24 July 2014,5.95,1.19,7.14,14.28,6
cap2066,capacitor 20ufldy tfuni,1,,,,,cap2066,,24 July 2014,1.22,0.24,1.46,1.46,6
cap1769,capacitor 10ufldy tfuni,1,,,,,cap1769,,24 July 2014,0.84,0.17,1.01,1.01,6
cap90112,capacitor 3.5ufldy tfuni,1,,,,,cap90112,,24 July 2014,0.85,0.17,1.02,1.02,6
cap242,capacitor 16ufldy tfuni,1,,,,,cap242,,24 July 2014,0.98,0.20,1.18,1.18,6
cap2065,capacitor 12.5ufldy tfuni,1,,,,,cap2065,,24 July 2014,0.94,0.19,1.13,1.13,6
cap985,capacitor 14ufldy tfuni,1,,,,,cap985,,24 July 2014,0.98,0.20,1.18,1.18,6
ele9327,fan oven element 2 turn,1,,,,,ele9327,,24 July 2014,4.99,1.00,5.99,5.99,6
ele4500,element fan oven 2300w,1,,,,,ele4500,,24 July 2014,2.45,0.49,2.94,2.94,6
cap480,capacitor 4ufldy tfuni,1,,,,,cap480,,24 July 2014,0.62,0.12,0.74,0.74,6
ele9366,element heater grill,1,,,,,ele9366,,24 July 2014,14.99,3.00,17.99,17.99,6
cap482,capacitor 5ufldy tfuni,1,,,,,cap482,,24 July 2014,0.85,0.17,1.02,1.02,6
caP3685,capacitor 18ufldy tfuni,1,,,,,caP3685,,24 July 2014,1.30,0.26,1.56,1.56,6
bsh171598,sealing,1,,,,,bsh171598,,30 July 2014,2.40,0.48,2.88,2.88,18
quafil184,filter dual washable,1,,,,,quafil184,,30 July 2014,1.29,0.26,1.55,1.55,18
plm970,tap straight hot red,2,,,,,plm970,,6 August 2014,2.17,0.43,2.6,5.2,6
plm1038,tap angled end of line,2,,,,,plm1038,,6 August 2014,3.03,0.61,3.64,7.28,6
dma145e,wellco premium push on,1,,,,,dma145e,,6 August 2014,10.40,2.08,12.48,12.48,6
plm1968,tap tee hot red & cold,2,,,,,plm1968,,6 August 2014,3.98,0.80,4.78,9.56,6
ele9369,fan oven circular heater,1,,,,,ele9369,,6 August 2014,2.34,0.47,2.81,2.81,6
val768,valve inlet solenoid,1,,,,,val768,,6 August 2014,1.55,0.31,1.86,1.86,6
ele9342,ego fan oven element 250,1,,,,,ele9342,,6 August 2014,5.95,1.19,7.14,7.14,6
ele9333 ,fan oven element 3 turn,1,,,,,ele9333 ,,6 August 2014,3.99,0.80,4.79,4.79,6
val951,valve inlet solenoid dou,1,,,,,val951,,6 August 2014,2.55,0.51,3.06,3.06,6
cap1676,capacitor 25uf ldy tf un,1,,,,,cap1676,,6 August 2014,1.35,0.27,1.62,1.62,6
dst50269971003,basket wheel kit lower,1,,,,,dst50269971003,,6 August 2014,6.05,1.21,7.26,7.26,18
quaele101,element fan oven stoves,1,,,,,quaele101,,6 August 2014,4.94,0.99,5.93,5.93,18
quaele2033ego,element fan oven homark,1,,,,,quaele2033ego,,6 August 2014,4.94,0.99,5.93,5.93,18
quaele2040,element fan oven candy,1,,,,,quaele2040,,6 August 2014,2.89,0.58,3.47,3.47,18
quapasspartu,vacuum separator,1,,,,,quapasspartu,,6 August 2014,5.33,1.07,6.4,6.4,18
merc00203636,spider & bearing seal kit,1,,,,,merc00203636,,18 August 2014,8.31,1.66,9.97,9.97,6
quamw24,ceramic fuse 20mm 6.3,19,,,,,quamw24,,19 August 2014,0.24,0.05,0.29,5.51,18
quamw35,ceramic fuse 10a 6.3x32mm,2,,,,,quamw35,,19 August 2014,0.53,0.11,0.64,1.28,18
quamw26,ceramic fuse 10a 5x20mm,18,,,,,quamw26,,19 August 2014,0.24,0.05,0.29,5.22,18
cbn9192,carbon brush fhp motor,1,,,,,cbn9192,,21 August 2014,5.44,1.09,6.53,6.53,6
wele402wcs,wellco 4 gang 2m ext lea,4,,,,,wele402wcs,,21 August 2014,3.90,0.78,4.68,18.72,6
whl9284,dishwasher lower basket,4,,,,,whl9284,,4 September 2014,0.59,0.12,0.71,2.84,6
bel082634941,thermostat main oven,1,,,,,bel082634941,,9 September 2014,10.46,2.09,12.55,12.55,18
be210920002,microswitch,1,,,,,be210920002,,11 September 2014,4.50,0.90,5.40,5.4,6
drm9306,drum paddle lifter,1,,,,,drm9306,,11 September 2014,1.35,0.27,1.62,1.62,6
drm9265,drum paddle lifter,1,,,,,drm9265,,11 September 2014,1.40,0.28,1.68,1.68,6
srtv082532601,spark electrode,1,,,,,srtv082532601,,17 September 2014,2.29,0.46,2.75,2.75,6
del084036,short electrode & cable,1,,,,,del084036,,17 September 2014,4.70,0.94,5.64,5.64,6
quaint104,bitron door interlock,1,,,,,quaint104,,24 September 2014,5.20,1.04,6.24,6.24,18
dst3792030425,door lock,2,,,,,dst3792030425,,2 October 2014,6.45,1.29,7.74,15.48,6
n088af019l,fuse 6.3 amp 32mm,3,,,,,n088af019l,,6 October 2014,0.53,0.11,0.64,1.92,6
plm723,hose connector 17mm,1,,,,,plm723,,6 October 2014,0.28,0.06,0.34,0.34,6
plm674,adaptor y,1,,,,,plm674,,6 October 2014,0.70,0.14,0.84,0.84,6
blt7699,drive belt,1,,,,,blt7699,,6 October 2014,2.25,0.45,2.7,2.7,6
hse685,hose drain 2.5,1,,,,,hse685,,6 October 2014,1.05,0.21,1.26,1.26,6
plm604,hose connector 17mm,2,,,,,plm604,,6 October 2014,0.32,0.06,0.38,0.76,6
hse697,drain hose extension 2.5,1,,,,,hse697,,6 October 2014,2.39,0.48,2.87,2.87,6
del084036,electrode 800mm,3,,,,,del084036,,11 October 2014,4.00,0.80,4.80,14.4,34
hse9227,drain hose 1.5,1,,,,,hse9227,,13 October 2014,1.29,0.26,1.55,1.55,6
cbn9381,carbon brush,1,,,,,cbn9381,,13 October 2014,6.29,1.26,7.55,7.55,6
cbn9175,carbon brush set,1,,,,,cbn9175,,13 October 2014,3.89,0.78,4.67,4.67,6
pmp991,drain pump with housing,1,,,,,pmp991,,13 October 2014,5.88,1.18,7.06,7.06,6
dst1240348506,door interlock,1,,,,,dst1240348506,,13 October 2014,6.60,1.32,7.92,7.92,6
jegppj048t,contract 45 amp ceiling,1,,,,,jegppj048t,,13 October 2014,4.10,0.82,4.92,4.92,18
quapmp250,pump bpsch,1,,,,,quapmp250,,13 October 2014,5.88,1.18,7.06,7.06,18
quapol26,belt 1194j5,1,,,,,quapol26,,13 October 2014,2.39,0.48,2.87,2.87,18
quapol75,belt 1220j5,1,,,,,quapol75,,13 October 2014,2.01,0.40,2.41,2.41,18
quapol80,belt 1230j5,1,,,,,quapol80,,13 October 2014,3.56,0.71,4.27,4.27,18
quapol82,belt 1245j5,1,,,,,quapol82,,13 October 2014,2.29,0.46,2.75,2.75,18
cap246,capacitor 7.5  ,1,,,,,cap246,,22 October 2014,0.85,0.17,1.02,1.02,6
etrg9ww136,2w g9 retrofit led,2,,,,,etrg9ww136,,22 October 2014,3.99,0.80,4.79,9.58,6
80662,250lm warm light,1,,,,,80662,,23 October 2014,3.25,0.65,3.9,3.9,31
80971,200lm warm light,2,,,,,80971,,23 October 2014,3.99,0.80,4.79,9.58,31
hptc00142628,drum rear bearing teardro,2,,,,,hptc00142628,,31 October 2014,3.40,0.68,4.08,8.16,18
quadrm06,drum paddle hotpoint,4,,,,,quadrm06,,31 October 2014,0.97,0.19,1.16,4.64,18
nzlkit7,32mm extension kit,1,,,,,nzlkit7,,11 November 2014,4.99,1.00,5.99,5.99,6
hse630,32mm hose black,1,,,,,hse630,,11 November 2014,4.99,1.00,5.99,5.99,6
